Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_base_link,-0.00161159551039664,-5.35320731301127E-05,0.0560978412942799,0,0,0,0.114811257443678,0.000157668014286336,1.23279816628476E-07,3.41927928857369E-06,8.53503031740679E-05,-3.29579297268574E-06,8.65455243809675E-05,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/hand_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/hand_base_link.STL,,hand_base_link-1,hand_base_link-zb,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpals_base1,0.0128313930736693,-0.000678732032779718,-6.35818794832779E-05,0,0,0,0.00393646374828629,5.66342021103653E-07,2.99828694401976E-08,-8.530815299903E-10,2.92953553344946E-07,1.9125859446091E-08,6.19998879375207E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_metacarpals_base1.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_metacarpals_base1.STL,,thumb_metacarpals_base1-1,thumb_metacarpals_base1-zb,thumb_metacarpals_base1-z,thumb_cmc_roll,revolute,-0.00752105646286185,0.022277717875142,0.0402500000154359,0,0,0,hand_base_link,-1,0,0,100,1,1,0,,,,,,,,
thumb_metacarpals_base2,0.00581591430824,0.00635157624424623,0.00301817977794241,0,0,0,0.00171679583795965,1.18471956476211E-07,-4.21491727713665E-08,-1.05144206441241E-08,1.14929858642022E-07,-1.74178188232578E-08,9.67476477234771E-08,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_metacarpals_base2.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_metacarpals_base2.STL,,thumb_metacarpals_base2-1,thumb_metacarpals_base2-zb,thumb_metacarpals_base2-z,thumb_cmc_yaw,revolute,0.0350706488516897,0.00330139200274943,0,0,0,0,thumb_metacarpals_base1,0,0,-1,100,1,1,0,,,,,,,,
thumb_metacarpals,0.00385872996209731,0.000181218600500455,0.0262735833237675,0,0,0,0.0170904831764455,6.63118284082087E-06,-8.89147944008133E-09,-3.40233763108897E-07,8.0387092642591E-06,1.37099372194423E-08,1.83070430583757E-06,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_metacarpals.STL,,thumb_metacarpals-1,thumb_metacarpals-zb,thumb_metacarpals-z,thumb_cmc_pitch,revolute,0.0161297170352622,0.0163048601861332,0.00686106204760886,0,-0.925290064543775,-2.35079106633742,thumb_metacarpals_base2,0,-1,0,100,1,1,0,,,,,,,,
thumb_proximal,-0.00245377652568593,0.00186599902568424,0.0134436674550769,0,0,0,0.00522967724458737,4.48792018896274E-07,-9.70789943838628E-10,-7.98090430081374E-08,6.21158736091837E-07,-3.64664957781819E-09,2.2512440353929E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_proximal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_proximal.STL,,thumb_proximal-1,thumb_proximal-zb,thumb_proximal-z,thumb_mcp,revolute,0.00816453404663862,-0.00144999989303646,0.0556339310817644,0,0,0,thumb_metacarpals,0,-1,0,100,1,1,0,,,,,,,,
thumb_distal,0.000428123853169746,2.07014406468898E-05,0.00928509405558531,0,0,0,0.00521800975168049,3.59710358459503E-07,-7.03000203959671E-11,7.69465079824501E-08,3.45473494359168E-07,3.0696210185884E-10,2.64028535580618E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_distal.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_distal.STL,,thumb_distal-1,thumb_distal-zb,thumb_distal-z,thumb_ip,revolute,-0.00154750718363847,0.00149999983118392,0.0345280593371561,0,0,0,thumb_proximal,0,-1,0,100,1,1,0,,,,,,,,
thumb_Virtual_Point,0.000233035989326169,5.00064540250775E-05,4.67970036186205E-05,0,0,0,5.23598775598299E-07,5.23598775598299E-14,-6.44905165041911E-31,3.15544362088405E-30,5.23598775598299E-14,-2.42380465218649E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/thumb_Virtual_Point.STL,,thumb_Virtual_Point-1,thumb_Virtual_Point-zb,Axis_thumb_Virtual_Point-none,thumb_Virtual_Point-none,fixed,-0.00661702686299999,-4.99999381474688E-05,0.0315676558844293,0,0,0,thumb_distal,0,0,0,,,,,,,,,,,,
index_metacarpals,0.00148754096391645,-5.49503463911916E-09,0.0020193309982513,0,0,0,0.00107972483821526,3.55597226363628E-08,-9.48374825574947E-16,-2.89707226372672E-09,2.11264180987165E-08,-1.72178782546436E-14,3.62864110573929E-08,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/index_metacarpals.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/index_metacarpals.STL,,index_metacarpals-1,index_metacarpals-zb,index_metacarpals-z,index_mcp_roll,revolute,-0.00719999999308767,0.030778354272632,0.119355702147758,0,0,0,hand_base_link,1,0,0,100,1,1,0,,,,,,,,
index_proximal,-0.0011507020809311,-2.08334184405232E-05,0.0212647300382613,0,0,0,0.0047795679529425,5.44832577804324E-07,-9.05372082061964E-11,1.65895588180974E-08,5.41640689587983E-07,-2.49910298343805E-10,1.75594690124638E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/index_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/index_proximal.STL,,index_proximal-1,index_proximal-zb,index_proximal-z,index_mcp_pitch,revolute,0.00736980261911774,0,0,0,0,0,index_metacarpals,0,1,0,100,1,1,0,,,,,,,,
index_middle,0.000582798950647259,-1.66623930000845E-05,0.0134419047168478,0,0,0,0.00270775195657711,2.25567812011315E-07,4.76559542406226E-12,5.19477924230876E-09,1.61875481956388E-07,-8.95811277153765E-12,1.1790038033522E-07,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/index_middle.STL,0,0,0,1,0,0,0,0,0,0,package://O12-T2-r-URDF/meshes/index_middle.STL,,index_middle-1,index_middle-zb,index_middle-z,index_pip,revolute,-0.00305282449335901,0,0.0399071116817979,0,0,0,index_proximal,0,1,0,100,1,1,0,,,,,,,,
